chapter_no,title,subject,exam,exam_group,year,questions,max_question_seen,start_pdf_page,end_pdf_page,toc_pdf_page,printed_page
1,Anatomy AIIMS 2017,Anatomy,AIIMS,AIIMS/INI-CET,2017,23,23,2,30,1,16
2,Anatomy AIIMS 2018,Anatomy,AIIMS,AIIMS/INI-CET,2018,22,22,31,52,1,45
3,Anatomy AIIMS 2019 (May & Nov),Anatomy,AIIMS,AIIMS/INI-CET,2019,19,19,53,80,1,67
4,Anatomy AIIMS 2020 (May & Nov INI-CET),Anatomy,AIIMS,AIIMS/INI-CET,2020,24,24,81,111,1,95
5,Anatomy NEET 2018,Anatomy,NEET PG,NEET PG,2018,14,14,112,124,1,126
6,Anatomy NEET 2019,Anatomy,NEET PG,NEET PG,2019,18,18,125,141,1,139
7,Anatomy NEET 2020,Anatomy,NEET PG,NEET PG,2020,17,17,142,160,1,156
8,Anatomy INI-CET 2021,Anatomy,INI-CET,AIIMS/INI-CET,2021,23,23,161,203,1,175
9,Anatomy NEET 2021,Anatomy,NEET PG,NEET PG,2021,7,7,204,218,1,218
10,Anatomy INI-CET 2022,Anatomy,INI-CET,AIIMS/INI-CET,2022,37,37,219,283,1,233
11,Anatomy NEET 2022,Anatomy,NEET PG,NEET PG,2022,5,5,284,296,1,298
12,Anatomy NEET 2023,Anatomy,NEET PG,NEET PG,2023,8,8,297,308,1,311
13,Anatomy INI-CET 2023,Anatomy,INI-CET,AIIMS/INI-CET,2023,25,25,309,351,1,323
14,Anatomy INI-CET 2024,Anatomy,INI-CET,AIIMS/INI-CET,2024,24,24,352,386,1,366
15,Anatomy NEET 2024,Anatomy,NEET PG,NEET PG,2024,106,24,387,489,1,401
21,Physiology NEET 2019,Physiology,NEET PG,NEET PG,2019,19,19,490,503,403,503
22,Physiology NEET 2020,Physiology,NEET PG,NEET PG,2020,17,17,504,515,403,517
23,Physiology INI-CET 2021,Physiology,INI-CET,AIIMS/INI-CET,2021,22,22,516,540,403,529
24,Physiology NEET 2021,Physiology,NEET PG,NEET PG,2021,5,5,541,545,403,554
25,Physiology INI-CET 2022,Physiology,INI-CET,AIIMS/INI-CET,2022,31,31,546,578,403,559
26,Physiology NEET 2022,Physiology,NEET PG,NEET PG,2022,6,6,579,588,403,592
27,Physiology NEET 2023,Physiology,NEET PG,NEET PG,2023,9,9,589,601,403,602
28,Physiology INI-CET 2023,Physiology,INI-CET,AIIMS/INI-CET,2023,23,23,602,628,403,615
29,Physiology INI-CET 2024,Physiology,INI-CET,AIIMS/INI-CET,2024,31,31,629,664,403,642
30,Physiology NEET 2024,Physiology,NEET PG,NEET PG,2024,14,14,665,679,403,678
31,Biochemistry AIIMS 2017,Biochemistry,AIIMS,AIIMS/INI-CET,2017,19,19,680,694,679,692
32,Biochemistry AIIMS 2018,Biochemistry,AIIMS,AIIMS/INI-CET,2018,21,21,695,710,679,707
33,Biochemistry AIIMS 2019 (May & Nov),Biochemistry,AIIMS,AIIMS/INI-CET,2019,18,18,711,726,679,723
34,Biochemistry AIIMS 2020 (May & Nov INI-CET),Biochemistry,AIIMS,AIIMS/INI-CET,2020,20,20,727,745,679,739
35,Biochemistry NEET 2018,Biochemistry,NEET PG,NEET PG,2018,16,16,746,757,679,758
36,Biochemistry NEET 2019,Biochemistry,NEET PG,NEET PG,2019,12,12,758,765,679,770
37,Biochemistry NEET 2020,Biochemistry,NEET PG,NEET PG,2020,14,14,766,778,679,778
