subject,total,neet_pg,aiims,ini_cet,aiims_ini_cet
Medicine,488,179,137,172,309
Obstetrics & Gynecology,448,186,111,151,262
Pathology,421,135,123,163,286
Surgery,408,144,124,140,264
Pharmacology,407,137,120,150,270
Anatomy,276,79,88,109,197
Microbiology,370,120,109,141,250
Community Medicine,344,135,103,106,209
Biochemistry,266,100,78,88,166
Psychiatry,235,166,39,30,69
Pediatrics,211,80,55,76,131
Forensic Medicine,210,74,58,78,136
Ophthalmology,190,70,53,67,120
Physiology,177,70,0,107,107
Orthopedics,175,60,62,53,115
ENT,139,54,34,51,85
Dermatology,139,49,41,49,90
Anesthesia,103,41,26,36,62
